W0417 09:19:02.263000 12996 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  10.8783 | norm:   1.8307 | time:    15.40 | tok/s:   1579.4 | lr: 0.000100
step:     1970 | loss:   3.5873 | norm:   4.4867 | time:  5201.71 | tok/s:  25130.3 | lr: 0.010000
step:     1980 | loss:   3.2213 | norm:   1.5090 | time:  5227.77 | tok/s:  25171.3 | lr: 0.010000
step:     1990 | loss:   3.3207 | norm:   1.3018 | time:  5253.83 | tok/s:  25139.8 | lr: 0.010000
step:     2000 | loss:   3.3836 | norm:   1.3162 | time:  5279.89 | tok/s:  25147.1 | lr: 0.010000
step:     2010 | loss:   3.2728 | norm:   1.7849 | time:  5305.96 | tok/s:  25171.8 | lr: 0.010000
step:     2020 | loss:   3.2841 | norm:   1.3658 | time:  5332.02 | tok/s:  25121.7 | lr: 0.010000
step:     2030 | loss:   3.1810 | norm:   1.3272 | time:  5358.08 | tok/s:  25158.8 | lr: 0.010000
step:     2040 | loss:   3.1319 | norm:   1.3793 | time:  5384.14 | tok/s:  25166.9 | lr: 0.010000
step:     2050 | loss:   3.3068 | norm:   1.3468 | time:  5410.21 | tok/s:  25163.9 | lr: 0.010000
step:     2060 | loss:   3.3323 | norm:   1.4698 | time:  5436.27 | tok/s:  25167.1 | lr: 0.010000
step:     2070 | loss:   3.3413 | norm:   1.4207 | time:  5462.33 | tok/s:  25176.4 | lr: 0.010000
step:     2080 | loss:   3.2391 | norm:   1.4197 | time:  5488.39 | tok/s:  25166.0 | lr: 0.010000
step:     2090 | loss:   3.5437 | norm:   1.4198 | time:  5514.45 | tok/s:  25152.9 | lr: 0.010000
step:     2100 | loss:   3.3885 | norm:   1.3228 | time:  5540.51 | tok/s:  25153.1 | lr: 0.010000
step:     2110 | loss:   3.4811 | norm:   1.9149 | time:  5566.58 | tok/s:  25152.1 | lr: 0.010000
step:     2120 | loss:   3.5942 | norm:   1.4800 | time:  5592.63 | tok/s:  25169.5 | lr: 0.010000
step:     2130 | loss:   3.4459 | norm:   1.8773 | time:  5618.68 | tok/s:  25185.3 | lr: 0.010000
step:     2140 | loss:   3.2734 | norm:   1.6343 | time:  5644.74 | tok/s:  25164.9 | lr: 0.010000
step:     2150 | loss:   3.4268 | norm:   1.5427 | time:  5670.81 | tok/s:  25148.6 | lr: 0.010000
step:     2160 | loss:   3.3976 | norm:   1.3430 | time:  5696.87 | tok/s:  25174.4 | lr: 0.010000
step:     2170 | loss:   3.4569 | norm:   1.5027 | time:  5722.92 | tok/s:  25168.5 | lr: 0.010000
step:     2180 | loss:   3.3540 | norm:   1.4409 | time:  5748.98 | tok/s:  25168.0 | lr: 0.010000
step:     2190 | loss:   3.3121 | norm:   1.3955 | time:  5775.04 | tok/s:  25161.6 | lr: 0.010000
step:     2200 | loss:   3.3963 | norm:   1.4691 | time:  5801.10 | tok/s:  25167.0 | lr: 0.010000
step:     2210 | loss:   3.3844 | norm:   1.7669 | time:  5827.16 | tok/s:  25135.2 | lr: 0.010000
step:     2220 | loss:   3.3723 | norm:   1.4077 | time:  5853.22 | tok/s:  25153.9 | lr: 0.010000
step:     2230 | loss:   3.3667 | norm:   1.3590 | time:  5879.29 | tok/s:  25155.4 | lr: 0.010000
step:     2240 | loss:   3.3381 | norm:   1.3153 | time:  5905.35 | tok/s:  25152.7 | lr: 0.010000
step:     2250 | loss:   3.4819 | norm:   1.6568 | time:  5931.42 | tok/s:  25177.3 | lr: 0.010000
step:     2260 | loss:   3.4037 | norm:   1.5602 | time:  5957.48 | tok/s:  25151.3 | lr: 0.010000
step:     2270 | loss:   3.3789 | norm:   1.4281 | time:  5983.53 | tok/s:  25168.1 | lr: 0.010000
step:     2280 | loss:   3.6493 | norm:   1.6476 | time:  6009.66 | tok/s:  25184.2 | lr: 0.010000
step:     2290 | loss:   3.3998 | norm:   1.4719 | time:  6035.71 | tok/s:  25149.7 | lr: 0.010000
step:     2300 | loss:   3.7169 | norm:   1.8065 | time:  6061.85 | tok/s:  25175.0 | lr: 0.010000
step:     2310 | loss:   3.4847 | norm:   1.6068 | time:  6087.89 | tok/s:  25162.2 | lr: 0.010000
step:     2320 | loss:   3.2623 | norm:   1.6551 | time:  6116.62 | tok/s:  25117.6 | lr: 0.010000
step:     2330 | loss:   3.4082 | norm:   1.7771 | time:  6142.74 | tok/s:  25093.4 | lr: 0.010000
step:     2340 | loss:   3.4857 | norm:   1.8014 | time:  6168.86 | tok/s:  25098.0 | lr: 0.010000
step:     2350 | loss:   3.3366 | norm:   1.4456 | time:  6194.97 | tok/s:  25093.7 | lr: 0.010000
